iter	Passed	Remaining
0	77	23308
1	84	12552
2	111	11022
3	121	8999
4	130	7675
5	145	7106
6	157	6610
7	169	6171
8	177	5748
9	182	5290
10	189	4966
11	196	4709
12	204	4507
13	211	4314
14	219	4170
15	225	4000
16	234	3899
17	240	3772
18	246	3640
19	250	3513
20	255	3394
21	262	3314
22	270	3252
23	276	3185
24	282	3108
25	287	3033
26	294	2974
27	299	2911
28	304	2843
29	308	2778
30	314	2726
31	319	2673
32	326	2638
33	330	2588
34	335	2536
35	339	2491
36	344	2447
37	353	2437
38	358	2398
39	364	2367
40	368	2330
41	374	2299
42	380	2272
43	385	2240
44	392	2221
45	397	2192
46	403	2172
47	411	2159
48	417	2136
49	422	2113
50	429	2094
51	434	2072
52	446	2079
53	453	2063
54	458	2042
55	463	2020
56	469	2001
57	474	1981
58	480	1962
59	485	160	460	490	161	461	496	162	562	502	163	563	508	1873
64	515	1863
65	520	1845
66	529	1842
67	535	1826
68	540	1808
69	545	1791
70	552	1781
71	557	1765
72	562	1747
73	567	1732
74	573	1720
75	581	1712
76	586	1698
77	609	1734
78	623	1743
79	630	1735
80	635	1719
81	640	1703
82	646	1689
83	651	1674
84	655	1658
85	661	1646
86	666	1631
87	671	1618
88	676	1604
89	681	1589
90	688	1581
91	694	1571
92	700	1558
93	705	1546
94	714	1541
95	730	1553
96	743	1556
97	748	1543
98	755	1534
99	761	1522
100	772	1522
101	777	1509
102	782	1497
103	787	1484
104	795	1477
105	801	1466
106	806	1454
107	811	1442
108	815	1429
109	819	1416
110	825	1405
111	829	1392
112	835	1382
113	841	1372
114	845	1359
115	850	1349
116	856	1339
117	860	1326
118	864	1315
119	870	1305
120	874	1294
121	880	1284
122	885	1273
123	891	1266
124	897	1255
125	902	1246
126	909	1238
127	913	1228
128	918	1218
129	924	1209
130	930	1200
131	935	1191
132	940	1180
133	945	1171
134	950	1161
135	955	1152
136	961	1143
137	967	1136
138	973	1127
139	979	1118
140	983	1108
141	989	1100
142	993	1091
143	999	1082
144	1004	1073
145	1009	1064
146	1014	1055
147	1019	1046
148	1024	1037
149	1028	1028
150	1033	1020
151	1038	1011
152	1042	1001
153	1049	994
154	1055	987
155	1059	978
156	1066	971
157	1072	963
158	1078	956
159	1084	948
160	1092	942
161	1106	942
162	1114	936
163	1119	928
164	1126	921
165	1135	916
166	1140	908
167	1149	902
168	1155	895
169	1166	892
170	1175	886
171	1183	880
172	1189	873
173	1194	865
174	1202	858
175	1208	851
176	1214	843
177	1220	836
178	1226	828
179	1231	821
180	1235	812
181	1240	804
182	1245	796
183	1250	788
184	1256	780
185	1262	773
186	1266	765
187	1271	757
188	1276	749
189	1281	742
190	1286	734
191	1292	727
192	1298	719
19194	1305	70194	1308	704
195	1317	698
196	1323	691
197	1327	683
198	1333	676
19200	1340	66200	1343	661
201	1349	654
202	1355	647
203	1363	641
204	1366	633
20206	1374	6120207	1380	6120208	1384	6020209	1389	5920210	1393	5821211	1398	5821212	1408	5721213	1412	5621214	1417	56214	1423	562
215	1428	555
216	1445	553
217	1453	546
218	1459	539
219	1464	532
220	1469	525
221	1474	518
222	1479	510
223	1484	503
224	1489	496
225	1493	489
226	1499	482
227	1503	474
228	1508	467
229	1514	460
230	1519	453
231	1523	446
232	1528	439
233	1533	432
234	1539	425
235	1544	418
236	1549	411
237	1555	405
238	1560	398
239	1564	391
240	1569	384
241	1575	377
242	1580	370
243	1585	363
244	1590	356
245	1596	350
246	1603	344
247	1610	337
248	1614	330
249	1619	323
250	1624	317
251	1629	310
252	1633	303
253	1638	296
254	1643	289
255	1648	283
256	1653	276
257	1658	269
258	1662	263
259	1668	256
260	1673	250
261	1678	243
262	1683	236
263	1687	230
264	1692	223
265	1698	217
266	1705	210
267	1710	204
268	1721	198
269	1738	193
270	1746	186
271	1753	180
272	1760	174
273	1767	167
274	1771	161
275	1774	154
276	1779	147
277	1783	141
278	1788	134
279	1792	128
280	1797	121
281	1801	115
282	1807	108
283	1812	102
284	1816	95
285	1821	89
286	1825	82
287	1829	76
288	1832	69
289	1836	63
290	1841	56
291	1845	50
292	1849	44
293	1853	37
294	1857	31
295	1861	25
296	1864	18
297	1868	12
298	1872	6
299	1876	0
