,,Hydraulic_Pressure(bar),Coolant_Pressure(bar),Air_System_Pressure(bar),Coolant_Temperature,Hydraulic_Oil_Temperature(?C),Spindle_Bearing_Temperature(?C),Spindle_Vibration(?m),Tool_Vibration(?m),Spindle_Speed(RPM),Voltage(volts),Torque(Nm),Cutting(kN)
Normal_Operation,count,417.0,415.0,416.0,417.0,416.0,418.0,416.0,417.0,419.0,419.0,416.0,419.0
Normal_Operation,mean,117.50262973884891,4.793980499754217,6.497937615550479,17.802637889688253,47.65168269230769,35.10095693779904,0.9945913461538461,25.59520143884892,19179.57756563246,349.51073985680193,27.499530510841343,2.481121718377088
Normal_Operation,std,22.460664024513942,0.9895644225959327,0.4154141489286968,7.923007984648944,3.6290523912048114,3.608596057877989,0.33372925513379764,6.345173300938299,3187.3007134358536,44.36513086346801,5.852138371903924,0.535434744419867
Normal_Operation,min,57.95490946,3.053148837,5.329776651,4.5,36.1,25.2,0.01,3.469,13272.0,211.0,18.15976264,1.85
Normal_Operation,25%,101.5518705,3.888834693,6.2246592355,10.6,45.4,32.824999999999996,0.74675,21.532,16198.0,321.0,22.1349932975,1.95
Normal_Operation,50%,118.9037,5.177448987,6.488617505000001,21.1,47.650000000000006,35.1,1.0025,25.618,20261.0,349.0,23.75311627,2.67
Normal_Operation,75%,134.3099363,5.469821948,6.777276934750001,24.2,50.1,37.6,1.213,30.197,21673.5,378.5,32.72044546,2.975
Normal_Operation,max,167.0509258,6.823141776,7.781150882,36.0,59.1,44.5,1.971,42.262,26289.0,479.0,35.5812209,3.62
Machine_Failure,count,453.0,454.0,451.0,454.0,453.0,454.0,452.0,451.0,454.0,454.0,450.0,454.0
Machine_Failure,mean,84.31187637969094,5.110871534828195,6.505355252607538,19.737444933920703,47.47969094922738,34.9420704845815,0.9972079646017699,25.052807095343677,21446.13215859031,349.3237885462555,22.587820711933333,3.044735682819383
Machine_Failure,std,25.41149092495228,0.9480773134145756,0.4103086223118309,8.308149598353214,3.822931842039311,3.7696201826884064,0.3462146664076484,6.777269591512384,4223.9242041346815,47.28751481712602,5.308904154149575,0.5693191749082286
Machine_Failure,min,50.15,0.325,5.091411159,4.1,35.2,23.2,0.033,5.892,0.0,202.0,0.0,1.89
Machine_Failure,25%,64.43,4.50493969025,6.2222807345,11.925,45.0,32.4,0.76725,20.614,18372.5,316.0,16.5781920975,2.55
Machine_Failure,50%,80.27,4.753812428,6.516261021,22.35,47.5,34.95,0.9855,24.991,19973.0,348.0,24.5836403,2.8049999999999997
Machine_Failure,75%,94.29,5.567856573,6.7723856725000005,26.4,50.0,37.5,1.24925,29.7865,25548.25,385.0,26.3285266675,3.59
Machine_Failure,max,157.47,6.960635908,7.973991528,36.5,59.2,45.8,2.0,44.839,27957.0,471.0,35.74438455,3.93
