Sensor,Normal_Mean,Normal_Std,Failure_Mean,Failure_Std,T_Statistic,P_Value,Cohens_D,Significant,Effect_Size
Hydraulic_Pressure(bar),118.57369380596248,23.829291172172855,84.76049841772152,26.34138401425067,33.559122078353305,5.31255500619395e-204,-1.345214353007779,True,Large
Coolant_Pressure(bar),4.77245351634046,1.0440979108641593,5.114900076622925,0.9199271474834773,-8.676597528439608,7.247685200389758e-18,0.34845827687042336,True,Small
Air_System_Pressure(bar),6.495475789934747,0.4152938474199272,6.502979716759746,0.39943837337256155,-0.45893541681411865,0.6463207469634169,0.01842158778835724,False,Small
Coolant_Temperature,17.08781684382666,8.48895443253104,19.98308300395257,8.378119954296404,-8.56151996405634,1.9197907462855717e-17,0.3433345985934428,True,Small
Hydraulic_Oil_Temperature(?C),47.666666666666664,3.746444485060499,47.571349206349204,3.791040785244152,0.630131659846932,0.5286664533821015,-0.025288968461447205,False,Small
Spindle_Bearing_Temperature(?C),35.1379674796748,3.694992203924386,34.99136975455265,3.831686218778826,0.9720104132425997,0.33113974133935087,-0.038938375226372585,False,Small
Spindle_Vibration(?m),1.0151237785016287,0.33895369615668525,1.0036962727993657,0.34673756906853526,0.8311965350632337,0.40594240412804294,-0.03332417801447538,False,Small
Tool_Vibration(?m),25.45031707317073,6.370225863176086,25.374516282764098,6.504164255558735,0.29366613246568735,0.7690375399468771,-0.011773372669336996,False,Small
Spindle_Speed(RPM),19199.625711960944,3217.606626129272,21319.361264822135,4123.213322107649,-14.285621510753248,1.4723497952948168e-44,0.5721714186295973,True,Medium
Voltage(volts),348.7274206672091,45.45249950953303,349.2584980237154,45.31804338546167,-0.29216261585864545,0.7701866138708054,0.011701772881252884,False,Small
Torque(Nm),27.775692427072766,5.983623987809266,22.76099774259554,5.208139507419313,22.27435019040883,2.464871108329755e-100,-0.8948191263841352,True,Large
Cutting(kN),2.501341463414634,0.5270038178919716,3.0564133016627077,0.5730282476702147,-25.156312725521367,1.254041750584328e-124,1.007752520830085,True,Large
