n_sensors_removed,n_sensors_remaining,removed_sensors,auc_mean,auc_std,performance_drop,accuracy
0,12,None,0.9958820491845449,0.0005151288346663752,0.0,0.9604884853320029
1,11,Hydraulic_Oil_Temperature(?C),0.9965720201979099,0.00012495620907584137,-0.0006899710133649872,0.9670705879313797
2,10,"Voltage(volts), Hydraulic_Oil_Temperature(?C)",0.9959904521394902,8.50818118219407e-05,-0.00010840295494529695,0.9579390587198683
3,9,"Spindle_Vibration(?m), Voltage(volts), Hydraulic_Oil_Temperature(?C)",0.99591339147725,0.0006457659427159014,-3.134229270507216e-05,0.9568370267954492
4,8,"Tool_Vibration(?m), Spindle_Vibration(?m), Voltage(volts), Hydraulic_Oil_Temperature(?C)",0.9962947601934892,0.0006653832062745815,-0.0004127110089442443,0.9635446346495526
5,7,"Air_System_Pressure(bar), Tool_Vibration(?m), Spindle_Vibration(?m), Voltage(volts), Hydraulic_Oil_Temperature(?C)",0.9965240021863359,0.00021328717362483876,-0.0006419530017909292,0.9622749646351005
6,6,"Spindle_Bearing_Temperature(?C), Air_System_Pressure(bar), Tool_Vibration(?m), Spindle_Vibration(?m), Voltage(volts), Hydraulic_Oil_Temperature(?C)",0.9967932568212584,0.000508001545355092,-0.0009112076367134847,0.9604042196613903
7,5,"Coolant_Temperature, Spindle_Bearing_Temperature(?C), Air_System_Pressure(bar), Tool_Vibration(?m), Spindle_Vibration(?m), Voltage(volts), Hydraulic_Oil_Temperature(?C)",0.9966391980357342,0.00042112200995989663,-0.000757148851189271,0.9589157561921141
8,4,"Spindle_Speed(RPM), Coolant_Temperature, Spindle_Bearing_Temperature(?C), Air_System_Pressure(bar), Tool_Vibration(?m), Spindle_Vibration(?m), Voltage(volts), Hydraulic_Oil_Temperature(?C)",0.9965932416504567,0.0008197677005411834,-0.0007111924659117808,0.9589991286115346
9,3,"Coolant_Pressure(bar), Spindle_Speed(RPM), Coolant_Temperature, Spindle_Bearing_Temperature(?C), Air_System_Pressure(bar), Tool_Vibration(?m), Spindle_Vibration(?m), Voltage(volts), Hydraulic_Oil_Temperature(?C)",0.9951471029810061,0.00019266665328459276,0.0007349462035388665,0.9547532541071689
10,2,"Cutting(kN), Coolant_Pressure(bar), Spindle_Speed(RPM), Coolant_Temperature, Spindle_Bearing_Temperature(?C), Air_System_Pressure(bar), Tool_Vibration(?m), Spindle_Vibration(?m), Voltage(volts), Hydraulic_Oil_Temperature(?C)",0.9938890819909462,0.0002917230409688835,0.0019929671935987603,0.9703195917970384
11,1,"Torque(Nm), Cutting(kN), Coolant_Pressure(bar), Spindle_Speed(RPM), Coolant_Temperature, Spindle_Bearing_Temperature(?C), Air_System_Pressure(bar), Tool_Vibration(?m), Spindle_Vibration(?m), Voltage(volts), Hydraulic_Oil_Temperature(?C)",0.9274841247402127,0.008825662665320285,0.06839792444433224,0.8325519508892248
12,0,"Hydraulic_Pressure(bar), Torque(Nm), Cutting(kN), Coolant_Pressure(bar), Spindle_Speed(RPM), Coolant_Temperature, Spindle_Bearing_Temperature(?C), Air_System_Pressure(bar), Tool_Vibration(?m), Spindle_Vibration(?m), Voltage(volts), Hydraulic_Oil_Temperature(?C)",0.5,0.0,0.4958820491845449,0.5
